author,date,title,country_publication,author_gender,filename,notes
"Aanrud, Hans",1903,Lisbeth Longfrock,United States,male,aanrud_longfrock.txt,
"Abbott, Edwin Abbott",1884,Flatland,England,male,abbott_flatlandromance.txt,
"Abbott, Eleanor Hallowell",1915,The Indiscreet Letter,United States,female,abbott_indiscreetletter.txt,
"Adams, William Taylor",1892,Fighting for the Right,United States,male,adams_fighting.txt,
"Alcott, Louisa May",1868,Little Women,United States,female,alcott_littlewomen.txt,
"Alcott, Louisa May",1871,Little Men: Life at Plumfield with Jo's Boys,United States,female,alcott_littlemen.txt,
"Alcott, Louisa May",1886,"Jo's Boys, and How They Turned Out",United States,female,alcott_josboys.txt,
"Alden, Isabella Macdonald",1876,Four Girls at Chautauqua,United States,female,alden_chautauqua.txt,
"Austen, Jane",1818,Persuasion,England,female,austen_persuasion.txt,
"Babcock, Bernie",1900,The Daughter of a Republican,United States,female,babcock_daughterofarepublican.txt,"Pseudonym ""Pansy"""
"Babcock, Bernie",1921,The Coming of the King,United States,female,babcock_comingoftheking.txt,
"Bacheller, Irving",1903,Darrel of the Blessed Isles,United States,male,bacheller_darreloftheblessedisles.txt,
"Brontë, Anne",1848,The Tenant of Wildfell Hall,England,female,bronte_wildfell.txt,
"Brontë, Charlotte",1857,The Professor,England,female,bronte_professor.txt,
"Brontë, Emily",1847,Wuthering Heights,England,female,bronte_wuthering.txt,
"Burnett, Frances Hodgson",1915,The Lost Prince,England,female,burnett_lostprince.txt,
"Cambridge, Ada",1898,Materfamilias,Australia,female,cambridge_materfamilias.txt,
"Carroll, Lewis",1865,Alice's Adventures in Wonderland,England,male,carroll_alice.txt,
"Chopin, Kate",1894,Bayou Folk,England,female,chopin_bayoufolk.txt,
"Chopin, Kate",1899,The Awakening,United States,female,chopin_awakening.txt,
"Collins, Wilke",1859,The Woman in White,England,male,collins_woman.txt,
"Conrad, Joseph",1899,Heart of Darkness,England,male,conrad_darkness.txt,
"Dickens, Charles",1859,A Tale of Two Cities,England,male,dickens_twocities.txt,
"Disraeli, Benjamin",1845,Sybil,England,male,disraeli_sybil.txt,
"Doyle, Arthur Conan",1887,A Study in Scarlet,England,male,doyle_scarlet.txt,"Pseudonym ""Old Sleuth"""
"Eastman, Seth and Mary",1852,Aunt Phillis's Cabin,United States,both,eastman_phillis.txt,
"Eastwood, Frances",1870,Geoffrey the Lollard,United States,male,eastwood_lollard.txt,
"Eaton, Walter Prichard",1922,Boy Scouts at Crater Lake,United States,male,eaton_craterlake.txt,
"Eddy, Velda Allis",1858,"The Allis Family, Or, Scenes of Western Life",United States,female,eddy_allisfamily.txt,
"Edgar, John George",1865,The Boy Crusaders A Story of the Days of Louis IX,England,male,edgar_crusaders.txt,
"Edginton, May",1917,Married Life,Unknown,female,edginton_marriedlife.txt,
"Eliot, George",1871,"Middlemarch, A Study of Provincial Life",England,female,eliot_middlemarch.txt,
"Fairless, Michael",1901,The Gathering of Brother Hilarius,England,female,fairless_brotherhilarius.txt,
"Falkner, John Meade",1895,The Lost Stradivarius,England,male,falkner_stadivarius.txt,
"Falkner, John Meade",1898,Moonfleet,England,male,falkner_moonfleet.txt,
"Falkner, John Meade",1903,The Nebuly Coat,England,male,falkner_nebulycoat.txt,
"Gale, Zona",1915,Heart's Kindred,United States,female,gale_heartskindred.txt,
"Gallon, Tom",1911,Dead Man's Love,England,male,gallon_deadmanslove.txt,
"Gaskell, Elizabeth",1853,Ruth,England,female,gaskell_ruth.txt,
"Gaskell, Elizabeth",1863,A Dark Night's Work,England,female,gaskell_night.txt,
"Gilman, Charlotte Perkins'",1911,The Crux,United States,female,gilman_crux.txt,
"Gissing, George",1890,The Emancipated,England,male,gissing_emancipated.txt,
"Halsey, Harlan Page",1897,"A Desperate Chance; Or, The Wizard Tramp's Revelation, a Thrilling Narrative",United States,male,halsey_desperate.txt,
"Hawthorne, Nathaniel",1850,The Scarlet Letter,United States,male,hawthorne_scarlet.txt,
"Inchbald, Elizabeth",1791,A Simple Story,England,female,inchbald_simple.txt,
"Inchbald, Elizabeth",1796,Nature and Art,England,female,inchbald_nature.txt,
"Ingelow, Jean",1869,Mopsa the Fairy,England,female,ingelow_mopsa.txt,
"Ingraham, Joseph Holt",1859,"The Pillar of Fire; or, Israel in Bondage",United States,male,ingraham_pillar.txt,
"Ingram, Eleanor Marie",1910,The Flying Mercury,United States,female,ingram_mercury.txt,
"Jacks, Lawrence Pearsall",1913,All Men are Ghosts,England,male,jacks_ghosts.txt,
"Jackson, Helen Hunt",1884,Ramona,United States,female,jackson_ramona.txt,
"Jacobs, William Wymark",1908,Salthaven,England,male,jacobs_salthaven.txt,
"James, George Payne Rainsford",1840,The King's Highway,England,male,james_highway.txt,
"James, Henry",1877,The American,United States,male,james_american.txt,
"Jefferies, Richard",1885,"After London. Or, Wild England",England,male,jefferies_wildengland.txt,
"Jerome, Jerome",1889,Three Men in a Boat,England,male,jerome_threemen.txt,
"Jordan, Elizabeth",1919,The Girl in the Mirror,United States,female,jordan_mirror.txt,
"Joyce, James",1922,Ulysses,Ireland,male,joyce_ulysses.txt,
"Kipling, Rudyard",1900,Kim,England,male,kipling_kim.txt,"Pseudonym ""Oliver Optic"
